
2024/03/27 (15:50:58) | ===> btop++ v.1.3.2
2024/03/27 (15:50:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/27 (15:50:58) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/03/27 (15:50:58) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/03/27 (15:50:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/27 (18:09:19) | ===> btop++ v.1.3.2
2024/03/27 (18:09:19) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/03/27 (18:11:55) | ===> btop++ v.1.3.2
2024/03/27 (18:11:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/27 (18:11:55) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/03/27 (18:11:55) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/03/27 (18:11:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/29 (08:49:44) | ===> btop++ v.1.3.2
2024/03/29 (08:49:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/29 (08:49:44) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/03/29 (08:49:44) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/03/29 (08:49:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/01 (18:36:39) | ===> btop++ v.1.3.2
2024/04/01 (18:36:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/01 (18:36:39) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/01 (18:36:39) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/01 (18:36:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/12 (00:40:19) | ===> btop++ v.1.3.2
2024/04/12 (00:40:19) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/04/12 (09:56:32) | ===> btop++ v.1.3.2
2024/04/12 (09:56:32) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/04/12 (09:57:16) | ===> btop++ v.1.3.2
2024/04/12 (09:57:16) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/04/12 (09:57:28) | ===> btop++ v.1.3.2
2024/04/12 (09:57:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/12 (09:57:28) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/12 (09:57:28) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/12 (09:57:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/12 (13:42:29) | ===> btop++ v.1.3.2
2024/04/12 (13:42:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/12 (13:42:29) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/12 (13:42:29) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/12 (13:42:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/16 (16:30:14) | ===> btop++ v.1.3.2
2024/04/16 (16:30:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/16 (16:30:14) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/16 (16:30:14) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/16 (16:30:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (12:01:34) | ===> btop++ v.1.3.2
2024/04/18 (12:01:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (12:01:34) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/18 (12:01:34) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/18 (12:01:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (12:02:23) | ===> btop++ v.1.3.2
2024/04/18 (12:02:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (12:02:23) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/18 (12:02:23) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/18 (12:02:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (12:03:58) | ===> btop++ v.1.3.2
2024/04/18 (12:03:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (12:03:58) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/18 (12:03:58) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/18 (12:03:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (12:04:21) | ===> btop++ v.1.3.2
2024/04/18 (12:04:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (12:04:21) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/18 (12:04:21) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/18 (12:04:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (12:04:29) | ===> btop++ v.1.3.2
2024/04/18 (12:04:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (12:04:29) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/18 (12:04:29) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/18 (12:04:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (12:07:08) | ===> btop++ v.1.3.2
2024/04/18 (12:07:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (12:07:08) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/18 (12:07:08) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/18 (12:07:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (12:07:51) | ===> btop++ v.1.3.2
2024/04/18 (12:07:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
